λ,Lq,s,μ,ρ,Wq
7.080900192,1.789100051,7,9.9091,0.1021,0
16.91839981,7.210199833,1,19.007,0.8901,0.4262
13.85610008,10.26200008,7,15.0955,0.1311,0
7.396399975,16.09329987,4,7.8305,0.2361,0.0018
15.67080021,3.852499962,8,19.0219,0.103,0
13.34790039,1.190700054,1,20.6086,0.6477,0.0892
13.80200005,14.77859974,5,14.6801,0.188,0.0003
10.63899994,4.964700222,1,12.4676,0.8533,0.4667
2.41989994,17.69960022,2,2.5497,0.4746,0.1267
6.177999973,11.85009956,1,6.6615,0.9274,1.9181
8.072799683,5.029099941,5,9.4448,0.1709,0.0003
13.27420044,6.066699982,4,15.1867,0.2185,0.0008
19.92130089,7.246500015,10,22.3695,0.0891,0
12.74810028,14.43229961,7,13.5774,0.1341,0
19.72260094,18.21080017,9,20.7519,0.1056,0
13.78989983,14.17459965,6,14.7024,0.1563,0.0001
16.56520081,5.471700191,5,19.1799,0.1727,0.0002
5.569499969,5.744100094,1,6.4117,0.8686,1.0313
10.3526001,5.583399773,1,11.9579,0.8658,0.5393
8.595700264,10.62639999,7,9.3401,0.1315,0
17.03860092,4.416200161,9,20.2801,0.0934,0
16.82530022,14.15460014,9,17.9401,0.1042,0
3.610699892,2.469300032,3,4.7275,0.2546,0.0078
1.523000002,13.32229996,3,1.6298,0.3115,0.0352
17.8253994,5.183499813,6,20.7759,0.143,0
14.87040043,9.595499992,5,16.2855,0.1826,0.0002
18.69169998,18.25329971,2,19.665,0.4753,0.0165
13.32549953,6.725299835,6,15.0767,0.1473,0.0001
15.70629978,7.939599991,9,17.4834,0.0998,0
8.731800079,13.5607996,2,9.3341,0.4677,0.0335
3.83739996,6.382500172,3,4.3659,0.293,0.0114
15.17819977,11.86079979,2,16.3651,0.4637,0.0187
17.25909996,1.913100004,2,23.801,0.3626,0.0076
19.60810089,9.107199669,4,21.5657,0.2273,0.0006
16.83620071,14.36670017,10,17.9362,0.0939,0
14.17850018,16.31669998,6,14.9999,0.1575,0.0001
10.35820007,15.39490032,8,10.9922,0.1178,0
14.36989975,10.85389996,3,15.5902,0.3072,0.0036
6.523700237,13.77830029,1,6.967,0.9364,2.112
5.845300198,4.243400097,2,6.9962,0.4177,0.0346
11.67500019,5.738699913,7,13.442,0.1241,0
10.05970001,14.98250008,10,10.6915,0.0941,0
12.28209972,10.25189972,9,13.3817,0.102,0
2.619600058,6.353700161,2,2.9818,0.4393,0.0908
19.17770004,9.360300064,1,21.0448,0.9113,0.4881
7.392000198,9.237099648,3,8.1205,0.3034,0.0067
2.540800095,13.48490047,4,2.717,0.2338,0.0052
5.364099979,9.923000336,7,5.859,0.1308,0.0001
2.631500006,11.73830032,7,2.8393,0.1324,0.0001
19.25279999,2.924400091,6,24.4392,0.1313,0
17.27560043,7.236899853,2,19.4012,0.4452,0.0144
12.86359978,8.789299965,8,14.1903,0.1133,0
8.098500252,17.4137001,7,8.5395,0.1355,0
4.200399876,16.91349983,10,4.4356,0.0947,0
6.509699821,19.33040047,9,6.8306,0.1059,0
12.32450008,13.35289955,4,13.1871,0.2336,0.0011
15.43739986,19.99010086,3,16.1745,0.3181,0.0037
8.964599609,13.63609982,8,9.5798,0.117,0
10.81270027,11.64999962,10,11.6725,0.0926,0
7.875400066,0.576699972,1,15.0306,0.524,0.0732
4.804100037,12.13339996,2,5.1719,0.4644,0.0594
6.947400093,7.086200237,3,7.8186,0.2962,0.0065
18.80150032,10.14290047,5,20.5015,0.1834,0.0002
11.06639957,3.986200094,6,13.3651,0.138,0.0001
4.151199818,15.57219982,6,4.4026,0.1572,0.0003
2.722500086,12.82069969,3,2.9205,0.3107,0.0195
14.6395998,14.81910038,10,15.5685,0.094,0
12.36979961,3.669100046,9,15.1267,0.0909,0
3.728199959,11.09749985,10,4.0383,0.0923,0
3.53550005,17.95849991,8,3.7225,0.1187,0
6.537399769,9.750699997,8,7.1504,0.1143,0
9.679499626,16.27589989,6,10.2416,0.1575,0.0001
3.581399918,8.562800407,2,3.9597,0.4522,0.073
9.803799629,11.18130016,9,10.6137,0.1026,0
17.25230026,13.07240009,7,18.4841,0.1333,0
17.81159973,5.019499779,2,20.8439,0.4273,0.0122
4.054299831,16.88419914,2,4.2817,0.4734,0.075
5.616899967,12.73330021,6,6.0279,0.1553,0.0002
17.58839989,6.981699944,2,19.8236,0.4436,0.014
2.003799915,9.675299644,4,2.193,0.2284,0.0061
15.28680038,14.03999996,3,16.3075,0.3125,0.0035
6.235899925,4.421000004,10,7.4211,0.084,0
11.89690018,7.738100052,9,13.2748,0.0996,0
1.415699959,16.58110046,1,1.4965,0.946,11.7123
9.715999603,17.07139969,4,10.2552,0.2369,0.0014
10.59399986,19.61380005,3,11.1091,0.3179,0.0054
9.57559967,15.66409969,2,10.1522,0.4716,0.0314
5.629000187,8.637399673,7,6.2189,0.1293,0.0001
7.575799942,12.08189964,1,8.1581,0.9286,1.5948
10.79609966,13.24310017,10,11.5576,0.0934,0
15.56949997,5.144299984,4,18.1638,0.2143,0.0006
2.147000074,15.30700016,2,2.2791,0.471,0.1393
10.39690018,4.237400055,6,12.4465,0.1392,0.0001
1.619099975,11.80309963,1,1.7463,0.9272,7.2899
1.870200038,14.6260004,3,1.9903,0.3132,0.0292
4.894999981,2.615400076,6,6.34,0.1287,0.0001
10.50710011,7.766499996,1,11.72,0.8965,0.7392
9.011699677,3.350500107,9,11.1798,0.0896,0
12.01620007,16.61910057,8,12.7003,0.1183,0
6.720200062,3.150399923,1,8.4222,0.7979,0.4688
19.53070068,15.96030045,10,20.6861,0.0944,0
4.594600201,7.504399776,9,5.1417,0.0993,0
18.59309959,7.695700169,10,20.7572,0.0896,0
7.891699791,6.062399864,3,9.0294,0.2913,0.0055
1.889299989,11.1722002,10,2.0455,0.0924,0
10.16020012,5.446499825,6,11.7705,0.1439,0.0001
8.733099937,18.49060059,2,9.1823,0.4755,0.0354
6.600299835,7.06430006,2,7.4303,0.4442,0.0373
17.30089951,14.81820011,4,18.3988,0.2351,0.0008
12.17280006,9.920800209,9,13.2961,0.1017,0
12.61550045,3.701100111,2,15.4066,0.4094,0.0151
8.458800316,18.43149948,2,8.8952,0.4755,0.0365
2.280900002,17.37689972,3,2.4054,0.3161,0.0247
9.268799782,15.23410034,9,9.8418,0.1046,0
17.96640015,12.08699989,3,19.3468,0.3096,0.0029
17.00200081,19.00180054,3,17.8541,0.3174,0.0034
7.64109993,8.389200211,2,8.4634,0.4514,0.034
2.756099939,7.255400181,5,3.0944,0.1781,0.0011
17.55859947,16.47039986,9,18.5668,0.1051,0
5.186399937,4.175799847,4,6.2217,0.2084,0.0017
17.99060059,6.458799839,9,20.442,0.0978,0
6.114900112,13.41650009,6,6.541,0.1558,0.0002
18.71199989,3.736299992,7,22.8188,0.1171,0
19.89030075,15.91619968,9,21.07,0.1049,0
18.23489952,9.25150013,8,20.0293,0.1138,0
16.49679947,12.71140003,4,17.706,0.2329,0.0008
14.79329967,4.831799984,3,17.3968,0.2834,0.0027
1.414000034,12.74849987,8,1.5174,0.1165,0.0001
3.076900005,3.496000051,3,3.7912,0.2705,0.011
5.225800037,5.696800232,6,6.0219,0.1446,0.0002
13.71609974,4.766699791,5,16.1586,0.1698,0.0002
1.979900002,19.76059914,8,2.0755,0.1192,0.0001
5.515900135,14.98320007,1,5.8623,0.9409,2.7164
3.2973001,4.491799831,7,3.9155,0.1203,0.0001
9.440799713,12.61340046,9,10.1378,0.1035,0
5.231800079,18.60269928,4,5.4994,0.2378,0.0027
11.34840012,18.56669998,7,11.9298,0.1359,0
15.87889957,2.778100014,5,20.3408,0.1561,0.0001
10.47469997,11.50640011,5,11.3173,0.1851,0.0003
11.73569965,17.48789978,4,12.3722,0.2371,0.0012
6.667699814,8.162400246,2,7.4034,0.4503,0.0387
12.80990028,5.799799919,8,14.7306,0.1087,0
11.37209988,8.643199921,2,12.5631,0.4526,0.023
10.47929955,1.191599965,1,16.1764,0.6478,0.1137
6.363900185,6.748899937,10,7.1976,0.0884,0
14.10149956,0.363599986,4,31.4764,0.112,0.0001
2.234100103,5.283400059,10,2.5978,0.086,0
7.372499943,1.051499963,5,11.7659,0.1253,0.0001
6.623899937,16.36720085,1,7.0065,0.9454,2.4709
4.436900139,4.838500023,2,5.2168,0.4253,0.0483
16.20849991,6.749400139,6,18.3318,0.1474,0.0001
15.74660015,4.968100071,1,18.4515,0.8534,0.3155
13.43169975,8.120800018,9,14.9206,0.1,0
18.67099953,19.15629959,5,19.5995,0.1905,0.0002
5.990200043,12.42590046,8,6.4387,0.1163,0
8.855199814,7.404300213,4,9.9225,0.2231,0.0013
14.06799984,12.17580032,10,15.1415,0.0929,0
18.33060074,14.81110001,7,19.4943,0.1343,0
5.320899963,5.760200024,7,6.1236,0.1241,0.0001
5.37349987,19.38559914,7,5.6377,0.1362,0.0001
5.610499859,7.76060009,7,6.2586,0.1281,0.0001
15.11460018,4.859499931,3,17.7614,0.2837,0.0026
5.489200115,4.26210022,6,6.5659,0.1393,0.0001
2.898699999,18.49959946,5,3.0477,0.1902,0.0014
4.433700085,13.16629982,10,4.7481,0.0934,0
4.393499851,13.92059994,7,4.6892,0.1338,0.0001
2.83039999,9.503700256,7,3.1021,0.1303,0.0001
6.449800014,18.89699936,6,6.7747,0.1587,0.0002
17.70899963,15.74629974,1,18.7701,0.9435,0.8892
12.7098999,8.176099777,8,14.1102,0.1126,0
8.227100372,17.11989975,1,8.6825,0.9476,2.0809
18.96769905,1.290500045,3,28.6862,0.2204,0.0009
14.90460014,1.916700006,7,20.5457,0.1036,0
12.27789974,5.370200157,1,14.2481,0.8617,0.4374
18.60829926,6.807899952,4,21.0272,0.2212,0.0006
12.81529999,2.955499887,7,16.2375,0.1127,0
13.28569984,7.156099796,9,14.937,0.0988,0
6.484000206,4.809500217,7,7.6297,0.1214,0
7.449999809,12.32759953,8,8.0119,0.1162,0
15.27719975,7.730000019,3,17.0482,0.2987,0.0031
11.41419983,6.005300045,5,13.0736,0.1746,0.0003
1.386100054,17.36300087,9,1.4618,0.1054,0
10.27540016,11.50109959,9,11.1023,0.1028,0
4.059899807,16.01429939,9,4.2993,0.1049,0
17.64920044,2.068000078,3,23.9408,0.2457,0.0014
15.21430016,15.46249962,6,16.1417,0.1571,0.0001
1.154199958,16.2133007,4,1.2215,0.2362,0.0118
11.79189968,14.77140045,2,12.5424,0.4701,0.0252
2.646199942,18.0102005,2,2.7858,0.475,0.1162
11.87049961,3.102200031,4,14.9158,0.199,0.0006
16.20299911,2.411299944,4,21.3118,0.1901,0.0004
2.523400068,7.526500225,8,2.8231,0.1117,0
3.858099937,5.560299873,5,4.4585,0.1731,0.0007
5.428299904,5.838500023,2,6.2374,0.4351,0.0425
11.08549976,0.104999997,6,40.1995,0.046,0
14.22669983,4.367599964,3,16.9592,0.2796,0.0027
2.034199953,15.50949955,6,2.1578,0.1571,0.0006
12.63339996,0.790799975,7,21.8642,0.0825,0
3.512099981,3.366699934,6,4.3536,0.1345,0.0002
16.29570007,11.94519997,2,17.5616,0.464,0.0174
6.720900059,7.711100101,1,7.5018,0.8959,1.1473
5.40320015,6.640600204,10,6.1214,0.0883,0
6.740200043,0.331,3,15.5606,0.1444,0.0007
14.04640007,3.471999884,2,17.3262,0.4054,0.0131
8.761599541,1.081200004,2,13.8777,0.3157,0.0099
15.3270998,13.63199997,9,16.3792,0.104,0
1.073899984,3.195300102,3,1.3427,0.2666,0.0302
1.216599941,8.723400116,1,1.3429,0.9059,7.1703
8.79640007,3.598400116,5,10.7894,0.1631,0.0003
10.16629982,13.5717001,6,10.8671,0.1559,0.0001
19.36429977,18.21940041,3,20.3744,0.3168,0.0029
7.46600008,4.037499905,4,9,0.2074,0.0012
7.762199879,2.303600073,5,10.3013,0.1507,0.0002
17.35400009,9.828900337,8,18.9693,0.1144,0
4.509300232,15.72539997,10,4.7798,0.0943,0
12.8760004,2.314500093,8,17.0719,0.0943,0
16.39299965,13.30039978,5,17.5446,0.1869,0.0002
19.49500084,7.335199833,5,21.8647,0.1783,0.0002
8.953900337,0.098200001,3,33.3986,0.0894,0.0001
14.45020008,3.017299891,4,18.2435,0.198,0.0005
7.719600201,11.75479984,7,8.3283,0.1324,0
1.866400003,2.584700108,9,2.4227,0.0856,0
14.18959999,19.78499985,4,14.8738,0.2385,0.001
16.61370087,2.17140007,10,22.3111,0.0745,0
2.569499969,1.895300031,5,3.5506,0.1447,0.0006
18.91679955,13.63399982,4,20.2152,0.2339,0.0007
16.25510025,17.29570007,9,17.1461,0.1053,0
2.713900089,2.364500046,5,3.5832,0.1515,0.0006
3.067199945,7.012800217,6,3.4554,0.1479,0.0003
13.76669979,10.10239983,5,15.016,0.1834,0.0002
16.23579979,19.20229912,3,17.0413,0.3176,0.0035
1.519600034,2.747200012,8,1.9505,0.0974,0
2.134200096,19.46100044,3,2.2387,0.3178,0.0268
17.70879936,3.17140007,4,22.1692,0.1997,0.0004
10.76399994,6.139800072,5,12.2984,0.175,0.0003
1.721899986,9.032299995,4,1.8951,0.2271,0.0069
11.98880005,10.6559,8,13.0244,0.1151,0
7.70720005,15.58520031,10,8.1735,0.0943,0
1.519000053,2.805399895,4,1.9424,0.1955,0.0047
18.4333992,3.495199919,2,22.7135,0.4058,0.01
16.64599991,1.075899959,9,26.401,0.0701,0
10.89840031,11.65040016,10,11.765,0.0926,0
4.726699829,7.958799839,9,5.2603,0.0998,0
7.68900013,14.97379971,2,8.1721,0.4704,0.0387
19.4178009,10.26210022,6,21.1546,0.153,0.0001
19.09029961,7.236199856,5,21.4394,0.1781,0.0002
3.660200119,4.422399998,8,4.3557,0.105,0
8.945099831,8.868499756,5,9.8601,0.1814,0.0004
14.41329956,6.81799984,8,16.2844,0.1106,0
17.26300049,19.77420044,10,18.0958,0.0954,0
15.13930035,9.080800056,4,16.6548,0.2273,0.0008
2.580199957,17.14209938,9,2.7228,0.1053,0
15.03800011,18.40950012,2,15.8147,0.4754,0.0205
12.06840038,18.25860023,4,12.6967,0.2376,0.0012
4.030700207,2.881400108,5,5.1298,0.1571,0.0005
14.39449978,8.320099831,7,15.9553,0.1289,0
6.494699955,1.765300035,3,9.1159,0.2375,0.0035
3.329999924,13.24590015,5,3.5648,0.1868,0.0011
6.747900009,0.833899975,9,11.4972,0.0652,0
11.11019993,17.49040031,9,11.7127,0.1054,0
12.28289986,12.67640018,9,13.1855,0.1035,0
12.54360008,6.855400085,8,14.164,0.1107,0
7.751399994,2.01060009,9,10.5768,0.0814,0
4.871399879,16.30319977,2,5.1538,0.4726,0.0621
8.698900223,15.99619961,7,9.2124,0.1349,0
16.37669945,2.768599987,5,20.9915,0.156,0.0001
6.048600197,19.54630089,2,6.3437,0.4767,0.0515
5.743899822,2.971600056,5,7.2709,0.158,0.0003
10.33600044,15.64070034,3,10.9593,0.3144,0.0053
13.16849995,16.22979927,4,13.9352,0.2362,0.001
5.693500042,10.63809967,1,6.1861,0.9204,1.8685
12.21570015,12.27099991,9,13.1411,0.1033,0
3.584399939,4.588600159,9,4.2441,0.0938,0
13.43029976,4.045499802,9,16.1851,0.0922,0
6.287399769,6.546000004,1,7.1339,0.8813,1.0411
1.696200013,5.53910017,4,1.9611,0.2162,0.0059
13.1310997,14.88070011,2,13.9611,0.4703,0.0227
11.34529972,14.5848999,7,12.0761,0.1342,0
12.47809982,2.592000008,3,16.1887,0.2569,0.0023
16.01709938,0.676400006,9,29.0661,0.0612,0
16.4598999,7.620600224,1,18.3928,0.8949,0.463
13.26840019,17.77969933,9,13.9768,0.1055,0
5.460499763,8.161100388,10,6.0631,0.0901,0
18.93190002,2.145900011,7,25.4856,0.1061,0
10.35159969,2.974400043,7,13.1014,0.1129,0
9.226400375,15.12390041,7,9.8007,0.1345,0
9.47630024,16.70050049,1,10.0133,0.9464,1.7623
19.61569977,10.97280025,6,21.2647,0.1537,0.0001
1.38380003,10.17059994,7,1.5086,0.131,0.0002
1.418099999,9.674200058,7,1.552,0.1305,0.0002
6.31400013,15.71990013,6,6.6929,0.1572,0.0002
6.165800095,14.74510002,5,6.5589,0.188,0.0006
15.43120003,17.50009918,4,16.2676,0.2371,0.0009
13.71409988,16.04980087,4,14.5211,0.2361,0.001
1.809100032,16.79159927,7,1.9111,0.1352,0.0002
12.10109997,17.61310005,6,12.753,0.1581,0.0001
12.16489983,2.316400051,3,16.1264,0.2514,0.0022
6.156899929,10.43229961,5,6.6993,0.1838,0.0006
16.34390068,5.55039978,7,18.8914,0.1236,0
11.86270046,10.28979969,3,12.9211,0.306,0.0043
8.55340004,1.035699964,3,13.7069,0.208,0.0017
17.46080017,0.565800011,3,33.5309,0.1736,0.0005
18.34760094,11.69349957,6,19.8014,0.1544,0.0001
6.313300133,0.0506,9,31.3997,0.0223,0
12.36170006,19.13640022,10,12.977,0.0953,0
3.512000084,15.75699997,9,3.7223,0.1048,0
9.796299934,18.98069954,4,10.2878,0.2381,0.0014
13.23760033,0.733299971,8,23.4347,0.0706,0
12.65190029,1.159500003,3,19.6702,0.2144,0.0013
17.86879921,16.875,2,18.8714,0.4734,0.017
16.71299934,15.23429966,3,17.7462,0.3139,0.0033
19.84210014,2.738300085,8,25.484,0.0973,0
8.282799721,0.708500028,5,14.8176,0.1118,0.0001
12.26099968,6.351500034,9,13.9569,0.0976,0
3.667399883,2.338999987,7,4.8524,0.108,0
11.25520039,3.02850008,3,14.2008,0.2642,0.0028
17.4102993,10.44950008,7,18.9417,0.1313,0
17.0904007,18.18059921,2,17.9837,0.4752,0.018
16.27630043,6.242199898,1,18.5626,0.8768,0.3835
18.02729988,15.12930012,9,19.149,0.1046,0
10.98680019,12.11089993,9,11.8294,0.1032,0
17.93099976,7.918900013,5,19.9647,0.1796,0.0002
19.70330048,6.953499794,7,22.2164,0.1267,0
11.63049984,19.12870026,4,12.2097,0.2381,0.0012
17.26210022,6.48390007,10,19.6061,0.088,0
3.028100014,2.685600042,1,3.9029,0.7759,0.8869
3.158699989,8.545200348,1,3.493,0.9043,2.7053
8.958800316,11.67689991,6,9.6696,0.1544,0.0001
17.28230095,3.421799898,7,21.3674,0.1155,0
10.79940033,11.16240025,3,11.6929,0.3079,0.0048
8.399900436,9.152099609,6,9.2347,0.1516,0.0001
5.828199863,15.98690033,9,6.1724,0.1049,0
11.39089966,11.84080029,5,12.283,0.1855,0.0003
6.33409977,13.59319973,7,6.7701,0.1337,0.0001
6.231200218,10.9715004,3,6.7551,0.3075,0.0082
5.476399899,11.83409977,7,5.9055,0.1325,0.0001
9.727899551,9.71930027,7,10.6427,0.1306,0
4.893599987,11.78489971,3,5.2786,0.309,0.0107
1.003499985,10.26309967,3,1.0933,0.306,0.0504
9.063099861,5.556300163,1,10.4745,0.8653,0.6131
3.730400085,14.09840012,10,3.9785,0.0938,0
5.41079998,19.10659981,1,5.6805,0.9525,3.5312
2.114900112,7.349299908,5,2.3715,0.1784,0.0015
6.170000076,0.054000001,4,29.8151,0.0517,0
13.63220024,11.08150005,2,14.7678,0.4616,0.0205
18.99090004,10.48980045,3,20.6554,0.3065,0.0027
14.51010036,16.61459923,4,15.3364,0.2365,0.0009
3.300299883,4.790100098,4,3.8855,0.2123,0.0029
2.964099884,5.834700108,2,3.4062,0.4351,0.0778
2.410599947,12.42870045,7,2.591,0.1329,0.0001
10.18089962,16.50650024,6,10.7643,0.1576,0.0001
14.37930012,5.789800167,5,16.5386,0.1739,0.0002
2.05369997,12.58650017,8,2.2056,0.1164,0.0001
19.61860085,12.97999954,2,21.0287,0.4665,0.0148
13.66580009,19.53470039,5,14.3328,0.1907,0.0003
13.25440025,15.64120007,8,14.0536,0.1179,0
3.525599957,4.627900124,2,4.1697,0.4228,0.0596
4.23570013,11.76290035,10,4.5695,0.0927,0
16.5503006,2.271500111,2,22.0252,0.3757,0.0088
19.19440079,3.494600058,5,23.6519,0.1623,0.0001
9.801099777,4.312399864,1,11.7043,0.8374,0.44
16.05419922,9.958800316,4,17.5305,0.2289,0.0008
5.966700077,15.35159969,9,6.3329,0.1047,0
11.3902998,5.062900066,5,13.3149,0.1711,0.0002
4.598499775,13.05609989,7,4.9272,0.1333,0.0001
3.538500071,0.312099993,7,8.3456,0.0606,0
12.09430027,13.47220039,8,12.9338,0.1169,0
14.45489979,12.62150002,8,15.5215,0.1164,0
19.43289948,1.33739996,10,29.1272,0.0667,0
3.324899912,17.12919998,7,3.5088,0.1354,0.0001
3.658900023,5.393199921,3,4.2438,0.2874,0.0113
12.9229002,5.008299828,6,15.1272,0.1424,0.0001
10.11639977,18.69739914,4,10.6313,0.2379,0.0014
16.72139931,6.279500008,5,19.0578,0.1755,0.0002
11.43379974,3.9368999,2,13.8341,0.4132,0.0171
17.75079918,17.62369919,10,18.7066,0.0949,0
18.25790024,3.739599943,9,22.2621,0.0911,0
19.20809937,15.19449997,1,20.3985,0.9416,0.791
4.738500118,15.98789978,4,5.0184,0.2361,0.0029
18.81699944,12.43050003,8,20.2254,0.1163,0
9.762999535,14.13010025,5,10.4109,0.1876,0.0004
7.936800003,2.868299961,10,10.1092,0.0785,0
14.93999958,12.49359989,3,16.0529,0.3102,0.0035
13.42179966,7.954199791,4,14.9379,0.2246,0.0009
17.33440018,16.59720039,9,18.3225,0.1051,0
11.23110008,9.857600212,2,12.2737,0.4575,0.0242
11.95160007,18.46360016,6,12.5672,0.1585,0.0001
15.78740025,9.282600403,10,17.3362,0.0911,0
16.97170067,16.93199921,2,17.921,0.4735,0.0179
3.086800098,8.281499863,5,3.4229,0.1804,0.001
8.734000206,2.970400095,2,11.0567,0.395,0.0194
9.557900429,18.06620026,10,10.0605,0.095,0
13.47119999,9.988200188,3,14.7066,0.3053,0.0037
7.671299934,11.8217001,5,8.273,0.1855,0.0005
13.79430008,9.148599625,8,15.1658,0.1137,0
14.29909992,2.517800093,8,18.6527,0.0958,0
11.92619991,9.681500435,1,13.0518,0.9138,0.8118
13.82400036,5.722300053,6,15.9215,0.1447,0.0001
2.686800003,4.195600033,3,3.221,0.2781,0.0138
18.99880028,7.412899971,9,21.2863,0.0992,0
8.226900101,18.99069977,9,8.6394,0.1058,0
3.555999994,16.79000092,2,3.7565,0.4733,0.0855
3.512599945,9.37100029,9,3.8542,0.1013,0
10.56680012,4.08920002,5,12.7144,0.1662,0.0002
17.56010056,19.95669937,6,18.3999,0.1591,0.0001
18.55060005,3.39380002,1,22.9658,0.8077,0.1829
