rho,s,lambda,mu,Wq,W,Lq,Ls,P?
0.9313,10,1.7519,0.1881,5.9531,11.2691,10.4292,19.7424,0.068678
0.3857,5,6.1753,3.2025,0.0097,0.322,0.06,1.9883,0.61434
0.0248,1,19.3831,783.0634,0,0.0013,0.0006,0.0254,0.975247
0.227,5,3.3285,2.9323,0.0023,0.3433,0.0076,1.1427,0.772975
0.6014,1,3.0121,5.0082,0.3013,0.501,0.9076,1.509,0.398567
0.4567,7,15.2349,4.7655,0.0053,0.2151,0.0801,3.277,0.5433
0.0245,7,4.3797,25.5777,0,0.0391,0,0.1712,0.975538
0.4676,8,6.4375,1.721,0.0116,0.5927,0.0746,3.8152,0.532433
0.9548,6,1.2493,0.2181,14.8899,19.4754,18.6019,24.3306,0.045213
0.3332,3,16.6816,16.6895,0.004,0.0639,0.067,1.0665,0.666825
0.1793,1,2.2036,12.2875,0.0178,0.0992,0.0392,0.2185,0.820663
0.2609,8,2.0866,0.9999,0.0022,1.0023,0.0045,2.0914,0.739141
0.6891,3,4.1916,2.0275,0.2677,0.761,1.1223,3.1897,0.310862
0.2949,5,4.0676,2.7589,0.0051,0.3675,0.0206,1.495,0.70513
0.0074,4,11.8252,397.0769,0,0.0025,0,0.0298,0.992555
0.2695,2,19.0077,35.265,0.0029,0.0313,0.0551,0.5941,0.730502
0.7679,9,4.4264,0.6405,0.2987,1.8599,1.322,8.2328,0.232136
0.0122,4,5.6795,116.4236,0,0.0086,0,0.0488,0.987804
0.5425,8,2.8239,0.6507,0.0578,1.5946,0.1632,4.503,0.457522
0.7967,7,11.4173,2.0472,0.1736,0.662,1.9818,7.5588,0.203293
0.92,1,7.9004,8.5877,1.3386,1.455,10.5754,11.4953,0.08003
0.0462,6,18.0384,65.0918,0,0.0154,0,0.2771,0.953813
0.8338,10,19.8888,2.3855,0.1289,0.5481,2.5637,10.9012,0.166249
0.2863,7,1.5159,0.7563,0.0062,1.3284,0.0094,2.0137,0.713667
0.1401,9,5.4198,4.2988,0,0.2327,0.0002,1.2609,0.859916
0.3485,10,15.3996,4.4188,0.0007,0.227,0.0109,3.496,0.651496
0.4462,6,2.3182,0.8659,0.038,1.1929,0.0882,2.7654,0.553793
0.8228,3,12.9886,5.2616,0.2504,0.4404,3.252,5.7205,0.17715
0.1885,5,1.1501,1.2205,0.0033,0.8226,0.0038,0.9461,0.811539
0.7614,4,16.2528,5.3363,0.1089,0.2963,1.7704,4.8161,0.238568
0.9604,6,2.5198,0.4373,8.6185,10.9054,21.7168,27.4793,0.039588
0.6314,10,4.5049,0.7135,0.0696,1.4711,0.3138,6.6273,0.368646
0.091,2,3.1163,17.1265,0.001,0.0594,0.0031,0.1851,0.909021
0.5179,5,16.8222,6.4965,0.0126,0.1665,0.2123,2.8017,0.482118
0.4726,7,5.5106,1.6659,0.0172,0.6174,0.0945,3.4024,0.527444
0.5776,9,12.2186,2.3506,0.0166,0.4421,0.2033,5.4014,0.422431
0.6391,8,13.7025,2.6799,0.0303,0.4034,0.4148,5.528,0.360858
0.7414,10,19.5663,2.6391,0.0486,0.4275,0.9502,8.3641,0.258613
0.0945,10,14.4173,15.2633,0,0.0655,0,0.9446,0.905543
0.6678,7,7.2679,1.5547,0.0824,0.7256,0.5989,5.2738,0.332157
0.8901,5,1.1526,0.259,5.273,9.1341,6.0776,10.528,0.109921
0.9461,7,4.6779,0.7063,3.1783,4.5941,14.8679,21.4906,0.053891
0.4536,6,2.9755,1.0934,0.0319,0.9465,0.095,2.8163,0.546444
0.5491,6,19.2752,5.85,0.0122,0.1832,0.2355,3.5304,0.450853
0.6665,10,4.0693,0.6105,0.1099,1.7479,0.4473,7.1128,0.333456
0.5368,8,15.5843,3.6288,0.0099,0.2855,0.1542,4.4489,0.463167
0.1929,9,1.0305,0.5935,0.0008,1.6857,0.0008,1.7371,0.80708
0.0091,6,12.8476,235.8256,0,0.0042,0,0.0545,0.99092
0.0569,2,7.9153,69.5357,0.0001,0.0145,0.0009,0.1148,0.943085
0.309,6,16.4471,8.8721,0.0011,0.1138,0.0179,1.8717,0.691032
0.4712,9,9.0369,2.1308,0.0072,0.4765,0.0654,4.3065,0.528762
0.4759,9,11.0764,2.5863,0.0062,0.3929,0.0689,4.3517,0.524136
0.9152,9,11.5123,1.3977,0.6892,1.4046,7.9338,16.1706,0.084802
0.9485,2,15.6623,8.2559,1.0904,1.2115,17.0775,18.9746,0.05145
0.4628,9,7.5587,1.8146,0.0079,0.5589,0.0594,4.2248,0.537171
0.5183,4,10.0372,4.841,0.0259,0.2325,0.2599,2.3333,0.481653
0.361,6,17.5413,8.098,0.002,0.1255,0.0346,2.2007,0.63898
0.5322,8,18.3603,4.312,0.008,0.2399,0.1472,4.4051,0.467761
0.8576,1,4.7692,5.5609,1.0833,1.2631,5.1665,6.0241,0.142366
0.346,2,7.2901,10.5348,0.0156,0.1105,0.1136,0.8056,0.653999
0.2796,2,4.043,7.229,0.0151,0.1535,0.0612,0.6205,0.720364
0.0273,2,16.9058,309.397,0,0.0032,0.0002,0.0548,0.972679
0.3612,9,7.9512,2.4458,0.0021,0.4109,0.0165,3.2674,0.638782
0.3089,7,11.3795,5.2623,0.0012,0.1912,0.0132,2.1757,0.691075
0.8219,2,9.9172,6.0329,0.3503,0.516,3.4736,5.1174,0.178076
0.7917,1,19.3979,24.5014,0.1551,0.1959,3.0092,3.8009,0.208296
0.1948,9,13.9966,7.9845,0.0001,0.1253,0.0008,1.7538,0.805226
0.3978,5,13.3343,6.7033,0.0051,0.1543,0.0682,2.0574,0.60216
0.9044,3,11.4233,4.2103,0.6891,0.9266,7.8713,10.5845,0.095611
0.0739,5,2.1702,5.8713,0.0001,0.1704,0.0001,0.3698,0.926074
0.5951,5,18.907,6.354,0.0216,0.179,0.4091,3.3847,0.404883
0.7441,10,15.1676,2.0384,0.0644,0.555,0.9768,8.4177,0.255905
0.7092,10,7.6798,1.0829,0.0893,1.0127,0.6859,7.7775,0.290841
0.5131,2,14.2905,13.9244,0.028,0.0999,0.4007,1.427,0.486855
0.3147,10,8.2932,2.6354,0.0008,0.3802,0.0064,3.1533,0.68531
0.1197,4,1.377,2.8769,0.001,0.3486,0.0014,0.48,0.880338
0.184,3,11.1648,20.2274,0.0009,0.0504,0.0102,0.5622,0.816012
0.6391,4,16.061,6.2822,0.0419,0.2011,0.6729,3.2294,0.360853
0.1216,8,4.8755,5.0136,0,0.1995,0.0001,0.9726,0.878442
0.4371,5,5.4444,2.4909,0.0186,0.42,0.1011,2.2868,0.562862
0.5423,1,19.2158,35.4368,0.0334,0.0616,0.6424,1.1846,0.457745
0.3723,6,2.5184,1.1273,0.0157,0.9028,0.0395,2.2736,0.627659
0.2994,4,1.9833,1.656,0.0159,0.6198,0.0315,1.2292,0.700587
0.2497,2,5.3361,10.683,0.0084,0.102,0.0446,0.5441,0.750252
0.763,1,4.5294,5.9366,0.5422,0.7106,2.4558,3.2188,0.237035
0.5238,10,12.9337,2.4694,0.0078,0.4128,0.1011,5.3388,0.476236
0.1476,3,11.0558,24.9728,0.0005,0.0405,0.0052,0.4479,0.852429
0.2513,6,9.0028,5.9699,0.0008,0.1684,0.0076,1.5156,0.748663
0.0907,2,19.6618,108.3354,0.0002,0.0094,0.0031,0.1846,0.909255
0.2951,8,7.3122,3.0976,0.0011,0.3239,0.008,2.3686,0.704924
0.481,10,14.1412,2.9401,0.0044,0.3445,0.0622,4.872,0.519026
0.7764,8,6.8796,1.1076,0.2221,1.1249,1.528,7.739,0.223621
0.5359,4,16.5286,7.7114,0.0181,0.1478,0.2996,2.443,0.46415
0.7786,1,8.8937,11.4233,0.3078,0.3953,2.7373,3.5159,0.22144
0.1302,1,11.3972,87.5437,0.0017,0.0131,0.0195,0.1497,0.869811
0.3,2,19.3859,32.3129,0.0039,0.0348,0.0748,0.6748,0.700028
0.3742,6,7.9047,3.5211,0.0051,0.2891,0.0404,2.2853,0.625841
0.4571,1,18.6523,40.8032,0.0206,0.0451,0.3849,0.8421,0.542871
0.4414,8,11.5909,3.2824,0.0048,0.3095,0.0557,3.587,0.558594
0.9378,5,11.4256,2.4366,1.1273,1.5377,12.88,17.5692,0.062163
0.6472,4,19.9243,7.6966,0.0359,0.1659,0.7159,3.3046,0.352825
0.7043,9,5.7966,0.9145,0.1217,1.2152,0.7053,7.0441,0.295684
0.7764,8,3.5989,0.5794,0.4248,2.1508,1.5289,7.7404,0.223559
0.9463,5,15.8867,3.3576,0.9687,1.2665,15.3891,20.1207,0.053677
0.662,2,6.5811,4.9704,0.1637,0.3649,1.0774,2.4014,0.337972
0.2843,4,12.2693,10.7897,0.0021,0.0948,0.0262,1.1633,0.715718
0.0127,5,3.9068,61.3429,0,0.0163,0,0.0637,0.987262
0.2224,6,10.1418,7.6002,0.0005,0.132,0.0046,1.3391,0.777597
0.4915,6,11.2281,3.8076,0.0123,0.2749,0.1378,3.0867,0.508528
0.8518,6,10.2477,2.0051,0.3614,0.8601,3.703,8.8139,0.148188
0.0434,4,9.1101,52.5253,0,0.019,0.0001,0.1735,0.956639
0.8037,5,1.548,0.3852,1.5433,4.1391,2.389,6.4073,0.196326
0.4739,1,5.0778,10.7153,0.0841,0.1774,0.4268,0.9007,0.526115
0.4523,6,6.6434,2.4479,0.0141,0.4226,0.0938,2.8077,0.547684
0.277,8,5.4131,2.4427,0.0011,0.4105,0.006,2.222,0.722998
0.3684,2,17.9464,24.36,0.0076,0.0487,0.1371,0.8738,0.631642
0.7133,8,10.7018,1.8755,0.0777,0.6109,0.8316,6.5378,0.286729
0.0218,10,14.6025,66.8911,0,0.0149,0,0.2183,0.97817
0.138,4,16.13,29.2258,0.0001,0.0344,0.0022,0.5541,0.862023
0.7353,10,3.1628,0.4301,0.2824,2.6072,0.8932,8.2462,0.264696
0.5793,8,16.5314,3.5674,0.0142,0.2945,0.2344,4.8685,0.420741
0.887,5,6.0054,1.3541,0.9729,1.7114,5.8425,10.2776,0.112986
0.5662,2,16.184,14.291,0.0354,0.1053,0.5724,1.7049,0.433771
0.364,9,16.5073,5.0391,0.001,0.1995,0.0171,3.293,0.636016
0.2071,8,5.357,3.2333,0.0003,0.3096,0.0016,1.6584,0.792897
0.2652,3,15.9666,20.0723,0.002,0.0518,0.0319,0.8273,0.734848
0.5173,8,17.6079,4.2546,0.0072,0.2422,0.1265,4.265,0.482677
0.8545,9,14.2742,1.8561,0.2383,0.7771,3.4019,11.0923,0.145505
0.9977,1,1.8287,1.8329,234.8806,235.4262,429.5262,430.5239,0.002317
0.7642,10,19.3355,2.5303,0.0621,0.4573,1.2007,8.8423,0.235845
0.4625,3,3.0437,2.1939,0.069,0.5248,0.21,1.5974,0.537549
0.4476,3,11.2424,8.3731,0.0166,0.136,0.1863,1.529,0.552439
0.1175,10,5.9556,5.0686,0,0.1973,0,1.1751,0.882499
0.8826,4,16.1954,4.5876,0.3542,0.5721,5.7359,9.2661,0.117442
0.8884,9,11.2429,1.4061,0.4697,1.1809,5.2806,13.2765,0.111571
0.5245,5,14.1751,5.4049,0.0159,0.2009,0.225,2.8476,0.475472
0.9987,8,2.6064,0.3262,290.5517,293.6171,757.294,765.2835,0.001313
0.5095,6,3.3642,1.1004,0.0486,0.9573,0.1636,3.2207,0.490479
0.7977,10,13.5664,1.7007,0.1262,0.7142,1.7123,9.6893,0.202301
0.1074,7,12.3198,16.3915,0,0.061,0.0001,0.7517,0.892629
0.839,7,9.0092,1.534,0.3416,0.9935,3.0775,8.9504,0.161005
0.4248,10,2.8943,0.6813,0.0108,1.4786,0.0314,4.2797,0.575171
0.2083,7,18.4843,12.6753,0.0001,0.079,0.0024,1.4607,0.791673
0.3587,4,5.9084,4.1181,0.0103,0.2531,0.0609,1.4957,0.641315
0.1018,7,8.2513,11.5788,0,0.0864,0.0001,0.7127,0.898197
0.7989,2,14.5722,9.1202,0.1969,0.3065,2.8689,4.4667,0.201107
0.654,9,5.0763,0.8624,0.0852,1.2448,0.4327,6.3187,0.345996
0.0817,8,15.6573,23.9569,0,0.0417,0,0.6536,0.918305
0.0161,6,15.7795,163.1895,0,0.0061,0,0.0967,0.983884
0.6927,2,6.4188,4.6329,0.2063,0.4222,1.3243,2.7098,0.307252
0.684,3,8.5313,4.1573,0.1267,0.3673,1.0813,3.1334,0.315952
0.2202,9,16.2671,8.2065,0.0001,0.1219,0.0015,1.9837,0.779753
0.0766,6,12.9,28.0818,0,0.0356,0.0001,0.4594,0.923438
0.5581,4,19.1897,8.5967,0.0186,0.135,0.3577,2.5899,0.441947
0.3634,3,15.6477,14.3531,0.0057,0.0754,0.0897,1.1799,0.636602
0.3588,8,2.923,1.0183,0.0069,0.9889,0.0202,2.8907,0.641185
0.5434,4,13.2782,6.1089,0.024,0.1877,0.3183,2.4919,0.456604
0.7371,1,4.8745,6.6131,0.424,0.5752,2.0666,2.8036,0.262905
0.7726,10,12.3332,1.5963,0.1063,0.7328,1.3115,9.0377,0.227378
0.2225,8,19.7943,11.1206,0.0001,0.09,0.0022,1.7821,0.777505
0.9425,5,15.4392,3.2762,0.9174,1.2227,14.1644,18.8769,0.057505
0.9628,8,7.1973,0.9344,3.1783,4.2484,22.8751,30.5774,0.037218
0.5079,4,12.1048,5.9581,0.0197,0.1875,0.2385,2.2702,0.492089
0.177,8,17.5348,12.3826,0,0.0808,0.0008,1.4169,0.822989
0.5654,5,12.2672,4.3396,0.026,0.2564,0.3191,3.1459,0.434635
0.8587,10,19.1167,2.2264,0.1811,0.6302,3.4616,12.0481,0.141349
0.1811,2,8.5891,23.7161,0.0022,0.0443,0.0186,0.3807,0.818918
