rho,s,lambda,mu,Wq,W,Lq,Ls,P?
0.5021,9,12.5759,2.7828,0.0073,0.3667,0.0922,4.6113,0.49788
0.5566,10,19.5598,3.514,0.0074,0.292,0.1445,5.7108,0.443373
0.5284,9,16.525,3.4748,0.0074,0.2952,0.1223,4.878,0.471596
0.5279,10,14.2991,2.7086,0.0074,0.3766,0.1059,5.3851,0.47208
0.5102,10,11.6753,2.2885,0.0074,0.4444,0.0869,5.1887,0.48982
0.5348,10,15.2705,2.8554,0.0075,0.3577,0.1142,5.4622,0.465197
0.5334,9,17.0922,3.5602,0.0075,0.2884,0.129,4.9299,0.466562
0.5161,7,19.4492,5.3833,0.0075,0.1933,0.1467,3.7595,0.483873
0.5086,10,11.4293,2.2473,0.0075,0.4525,0.0854,5.1712,0.491414
0.5232,8,17.7617,4.2437,0.0076,0.2432,0.1343,4.3197,0.476824
0.507,10,11.0297,2.1755,0.0076,0.4673,0.0839,5.1538,0.493002
0.5592,10,19.178,3.4295,0.0077,0.2993,0.1485,5.7406,0.440789
0.5267,8,18.1141,4.2991,0.0077,0.2403,0.1392,4.3526,0.473313
0.5168,8,16.2062,3.9195,0.0078,0.2629,0.1258,4.2606,0.483151
0.5096,9,12.7638,2.7828,0.0078,0.3672,0.1001,4.6868,0.490364
0.5523,10,17.3948,3.1494,0.0079,0.3255,0.138,5.6613,0.447671
0.5479,9,19.0175,3.8566,0.0079,0.2672,0.1501,5.0812,0.45209
0.5179,10,12.0456,2.326,0.0079,0.4378,0.0947,5.2733,0.482136
0.5073,10,10.6595,2.1011,0.0079,0.4838,0.0842,5.1575,0.492671
0.5011,9,11.5369,2.5581,0.0079,0.3988,0.0912,4.6011,0.498897
0.5344,9,16.1907,3.3663,0.008,0.3051,0.1303,4.94,0.465591
0.5285,10,13.3523,2.5264,0.008,0.4038,0.1065,5.3916,0.471497
0.5024,7,16.0798,4.5724,0.008,0.2267,0.128,3.6447,0.497616
0.553,9,19.5606,3.93,0.0081,0.2625,0.1582,5.1355,0.446968
0.5145,8,15.19,3.6908,0.0081,0.279,0.1228,4.2385,0.485541
0.5572,10,17.7148,3.1795,0.0082,0.3227,0.1453,5.7169,0.442845
0.5467,10,15.7666,2.8838,0.0082,0.355,0.1299,5.5972,0.453273
0.5162,7,17.8352,4.936,0.0082,0.2108,0.1467,3.76,0.483816
0.5083,7,16.5381,4.6483,0.0082,0.2233,0.1357,3.6936,0.491726
0.5028,10,9.7388,1.9368,0.0082,0.5245,0.08,5.1084,0.497158
0.5026,7,15.7121,4.4658,0.0082,0.2321,0.1283,3.6466,0.497386
0.5185,10,11.4806,2.2141,0.0083,0.46,0.0954,5.2808,0.481466
0.5142,7,17.2365,4.7886,0.0083,0.2172,0.1439,3.7434,0.485787
0.5077,6,19.2405,6.3166,0.0084,0.1667,0.1607,3.2068,0.492328
0.5068,8,13.5132,3.3328,0.0084,0.3084,0.1135,4.168,0.493178
0.5064,10,9.9134,1.9574,0.0084,0.5193,0.0833,5.1478,0.493554
0.5049,9,11.3558,2.4991,0.0084,0.4085,0.0951,4.6391,0.495108
0.5701,10,19.6006,3.438,0.0085,0.2994,0.1667,5.8679,0.429887
0.5456,10,15.0807,2.7639,0.0085,0.3703,0.1284,5.5846,0.454375
0.5166,9,12.6687,2.7247,0.0085,0.3755,0.1079,4.7574,0.483386
0.5058,7,15.5892,4.4028,0.0085,0.2356,0.1325,3.6732,0.494176
0.5026,9,10.8967,2.409,0.0085,0.4236,0.0927,4.6161,0.497402
0.5602,9,19.7031,3.9082,0.0086,0.2645,0.1703,5.2117,0.43984
0.5293,7,19.3991,5.2358,0.0086,0.1996,0.1667,3.8718,0.470702
0.5285,7,19.3085,5.219,0.0086,0.2002,0.1655,3.8651,0.471479
0.5151,7,16.9187,4.6923,0.0086,0.2217,0.1452,3.7508,0.484909
0.5043,6,18.0835,5.9762,0.0086,0.1759,0.1557,3.1817,0.49568
0.5015,8,12.5044,3.117,0.0086,0.3294,0.1073,4.1189,0.498542
0.551,9,17.7131,3.572,0.0087,0.2887,0.1549,5.1138,0.449011
0.525,8,15.7523,3.7503,0.0087,0.2753,0.1368,4.3371,0.474962
0.5228,7,17.9566,4.9064,0.0087,0.2125,0.1566,3.8165,0.477163
0.5117,9,11.7268,2.5466,0.0087,0.4014,0.1023,4.7071,0.488348
0.5454,10,14.5718,2.672,0.0088,0.383,0.128,5.5816,0.454646
0.5395,10,13.6403,2.5282,0.0088,0.4043,0.1202,5.5154,0.460475
0.525,8,15.6106,3.7168,0.0088,0.2778,0.1368,4.3368,0.475
0.5165,10,10.5433,2.0413,0.0088,0.4987,0.0933,5.2583,0.483498
0.5154,10,10.417,2.0212,0.0088,0.5036,0.0921,5.2461,0.484605
0.5118,6,19.0615,6.2071,0.0088,0.1699,0.1671,3.2381,0.488177
0.5335,9,14.5006,3.0198,0.0089,0.3401,0.1291,4.931,0.466455
0.5137,10,10.1399,1.9738,0.0089,0.5156,0.0904,5.2277,0.48627
0.5611,9,19.0227,3.7672,0.009,0.2745,0.1719,5.2214,0.438935
0.5432,8,18.2003,4.188,0.009,0.2478,0.1644,4.5103,0.456768
0.5397,8,17.6847,4.0962,0.009,0.2531,0.1587,4.476,0.460331
0.538,10,13.1397,2.4422,0.009,0.4185,0.1182,5.4985,0.461973
0.5158,9,11.8337,2.5493,0.009,0.4013,0.1069,4.7489,0.484222
0.5096,7,15.2544,4.2761,0.009,0.2429,0.1375,3.7049,0.490381
0.5026,8,11.9943,2.9832,0.009,0.3443,0.1085,4.1291,0.497426
0.56,9,18.7642,3.7232,0.0091,0.2776,0.1699,5.2097,0.440023
0.5403,8,17.4607,4.0396,0.0091,0.2567,0.1597,4.482,0.459702
0.5325,9,13.9996,2.9211,0.0091,0.3515,0.1277,4.9203,0.467491
0.5139,8,13.4036,3.26,0.0091,0.3159,0.1221,4.2337,0.486055
0.5086,6,17.7915,5.8302,0.0091,0.1806,0.1622,3.2138,0.491395
0.5045,7,14.3391,4.0606,0.0091,0.2554,0.1307,3.662,0.495532
0.5536,10,15.1481,2.7364,0.0092,0.3747,0.1398,5.6756,0.446421
0.5502,9,16.6786,3.368,0.0092,0.3061,0.1537,5.1058,0.449768
0.5476,10,14.308,2.6128,0.0092,0.3919,0.1312,5.6072,0.452398
0.5202,9,12.2404,2.6145,0.0092,0.3916,0.1121,4.7939,0.479804
0.5197,8,14.0734,3.3849,0.0092,0.3046,0.1296,4.2873,0.480288
0.5165,9,11.6962,2.5163,0.0092,0.4066,0.1077,4.7559,0.483539
0.5163,7,16.0218,4.433,0.0092,0.2348,0.1469,3.7612,0.483679
0.5044,7,14.2311,4.0306,0.0092,0.2573,0.1306,3.6614,0.4956
0.5035,8,11.9382,2.9637,0.0092,0.3466,0.1096,4.1377,0.496486
0.5026,10,8.7015,1.7311,0.0092,0.5868,0.0798,5.1063,0.497352
0.5012,8,11.6665,2.9097,0.0092,0.3528,0.107,4.1164,0.498815
0.5687,9,19.943,3.8965,0.0093,0.266,0.1858,5.3039,0.431314
0.5582,10,15.7684,2.8247,0.0093,0.3633,0.147,5.7293,0.441764
0.5306,10,11.6764,2.2005,0.0093,0.4638,0.1091,5.4153,0.469372
0.5204,6,19.3878,6.2092,0.0093,0.1704,0.181,3.3035,0.479597
0.5113,7,15.0055,4.1929,0.0093,0.2478,0.1398,3.7186,0.48874
0.508,6,17.3573,5.695,0.0093,0.1849,0.1612,3.209,0.49203
0.5241,9,12.3738,2.6231,0.0094,0.3907,0.1169,4.8341,0.475866
0.5236,7,16.8295,4.5916,0.0094,0.2272,0.1578,3.8231,0.476387
0.564,9,18.6766,3.6795,0.0095,0.2813,0.1771,5.2529,0.43602
0.5454,8,17.6316,4.0411,0.0095,0.257,0.168,4.5311,0.45461
0.535,8,15.9788,3.7334,0.0095,0.2773,0.1514,4.4313,0.465006
0.5091,6,17.241,5.6439,0.0095,0.1866,0.163,3.2177,0.49087
0.5686,10,17.1595,3.018,0.0096,0.3409,0.164,5.8497,0.431431
0.5387,8,16.3814,3.8012,0.0096,0.2727,0.1571,4.4666,0.461309
0.5367,10,12.185,2.2703,0.0096,0.45,0.1165,5.4836,0.463297
0.5286,10,11.133,2.106,0.0096,0.4844,0.1067,5.3931,0.47136
0.5261,9,12.4682,2.6333,0.0096,0.3893,0.1194,4.8542,0.473906
0.5142,8,12.6949,3.086,0.0096,0.3337,0.1225,4.2362,0.485784
0.5035,9,9.7982,2.162,0.0096,0.4721,0.0937,4.6256,0.496453
0.5801,10,19.037,3.2818,0.0097,0.3144,0.1851,5.986,0.419917
0.5786,10,18.7117,3.234,0.0097,0.319,0.1823,5.9682,0.421408
0.5673,9,18.8586,3.6938,0.0097,0.2804,0.1831,5.2886,0.43272
0.5454,9,15.0209,3.0602,0.0097,0.3365,0.1462,5.0546,0.454618
0.5291,10,11.1109,2.1,0.0097,0.4858,0.1072,5.3981,0.470912
0.5023,9,9.4991,2.1011,0.0097,0.4857,0.0924,4.6134,0.497669
0.5571,8,19.2087,4.3102,0.0098,0.2418,0.1887,4.6452,0.442927
0.5473,8,17.4978,3.9967,0.0098,0.26,0.1712,4.5492,0.452743
0.5464,10,13.2835,2.4309,0.0098,0.4211,0.1295,5.5939,0.45356
0.5165,8,12.837,3.1069,0.0098,0.3316,0.1253,4.2571,0.483536
0.5124,7,14.4065,4.0164,0.0098,0.2588,0.1414,3.7284,0.487578
0.5077,7,13.7982,3.8824,0.0098,0.2674,0.135,3.689,0.492278
0.5567,9,16.5623,3.3054,0.0099,0.3125,0.1644,5.175,0.443266
0.5344,7,17.7278,4.7394,0.0099,0.2209,0.1751,3.9156,0.465646
0.533,10,11.2996,2.12,0.0099,0.4816,0.1119,5.442,0.466991
0.5297,8,14.4295,3.4048,0.0099,0.3037,0.1435,4.3815,0.47025
0.5269,7,16.4951,4.4719,0.0099,0.2335,0.163,3.8516,0.473053
0.5016,6,15.3959,5.1152,0.0099,0.2054,0.1519,3.1617,0.498357
0.5011,10,7.927,1.5818,0.0099,0.6421,0.0785,5.0898,0.49887
0.545,10,12.7492,2.3394,0.01,0.4375,0.1275,5.5772,0.455028
0.5374,10,11.7064,2.1782,0.01,0.4691,0.1175,5.4917,0.462572
0.5218,6,18.3778,5.8704,0.01,0.1803,0.1833,3.3139,0.478232
0.5215,9,11.3098,2.4099,0.01,0.425,0.1136,4.8067,0.478543
0.5121,10,8.9188,1.7417,0.01,0.5841,0.0888,5.2096,0.487916
0.5427,10,12.2565,2.2584,0.0101,0.4529,0.1244,5.5515,0.457292
0.5411,9,13.8431,2.8426,0.0101,0.3619,0.1398,5.0096,0.458908
0.5243,7,15.7697,4.2966,0.0101,0.2428,0.1589,3.8292,0.47567
0.5171,10,9.277,1.7939,0.0101,0.5676,0.0939,5.2653,0.48286
0.5098,8,11.63,2.8517,0.0101,0.3607,0.117,4.1953,0.490208
0.5095,9,9.8602,2.1503,0.0101,0.4752,0.0999,4.6854,0.490506
0.5036,10,7.9873,1.5861,0.0101,0.6406,0.0807,5.1165,0.496417
0.5891,10,19.9008,3.3781,0.0102,0.3062,0.2034,6.0945,0.410894
0.5725,9,18.8828,3.6646,0.0102,0.2831,0.1932,5.346,0.427464
0.558,10,14.3925,2.5794,0.0102,0.3979,0.1466,5.7264,0.442018
0.5379,7,17.6838,4.6963,0.0102,0.2232,0.1812,3.9467,0.462078
0.5167,6,17.2199,5.5548,0.0102,0.1902,0.1749,3.2749,0.483332
0.5274,9,11.7898,2.484,0.0103,0.4128,0.121,4.8672,0.47264
0.521,9,11.0149,2.3493,0.0103,0.4359,0.113,4.8017,0.479038
0.5737,10,16.6818,2.9077,0.0104,0.3543,0.1732,5.9103,0.426288
0.5352,9,12.6378,2.6235,0.0104,0.3916,0.1315,4.9487,0.464757
0.5275,7,15.7357,4.2616,0.0104,0.2451,0.1639,3.8563,0.472506
0.5174,8,12.1781,2.9422,0.0104,0.3503,0.1265,4.2656,0.482617
0.5015,5,17.6921,7.0556,0.0104,0.1521,0.1837,2.6912,0.498496
0.5656,8,19.5686,4.3246,0.0105,0.2417,0.2052,4.7302,0.434377
0.5448,7,18.4151,4.8292,0.0105,0.2176,0.1934,4.0067,0.455245
0.5365,8,14.6253,3.4076,0.0105,0.304,0.1537,4.4457,0.463499
0.5312,7,16.1262,4.3366,0.0105,0.2411,0.1699,3.8885,0.468766
0.5304,6,18.9562,5.9571,0.0105,0.1783,0.1984,3.3806,0.469647
0.5181,7,14.2886,3.9398,0.0105,0.2643,0.1495,3.7762,0.481899
0.514,7,13.7422,3.8194,0.0105,0.2723,0.1436,3.7417,0.485995
0.5135,9,9.96,2.1553,0.0105,0.4744,0.1043,4.7254,0.486538
0.5826,10,17.9324,3.0779,0.0106,0.3355,0.1901,6.0163,0.41738
0.5471,8,16.1746,3.6956,0.0106,0.2812,0.1709,4.5476,0.452912
0.5441,7,18.0578,4.741,0.0106,0.2216,0.1923,4.0011,0.455882
0.5186,6,16.7546,5.3842,0.0106,0.1964,0.1781,3.2899,0.481366
0.5171,5,19.9839,7.7287,0.0106,0.1399,0.2109,2.7966,0.482867
0.5127,5,19.0512,7.4319,0.0106,0.1452,0.2028,2.7663,0.48731
0.5193,9,10.3319,2.2107,0.0107,0.4631,0.111,4.7847,0.480703
0.5128,10,8.3971,1.6376,0.0107,0.6213,0.0895,5.2173,0.487219
0.5019,9,8.5988,1.9036,0.0107,0.536,0.092,4.6093,0.498085
0.5518,9,14.458,2.9115,0.0108,0.3543,0.1561,5.1219,0.448244
0.5508,10,12.6168,2.2906,0.0108,0.4473,0.1357,5.6437,0.449204
0.5372,6,19.4906,6.0474,0.0108,0.1762,0.2112,3.4342,0.462836
0.5199,6,16.6358,5.3331,0.0108,0.1983,0.1802,3.2996,0.480105
0.5489,7,18.5003,4.8152,0.0109,0.2186,0.2012,4.0432,0.451132
0.5438,8,15.1256,3.4768,0.0109,0.2986,0.1654,4.5158,0.456196
0.5378,6,19.442,6.0251,0.0109,0.1769,0.2124,3.4393,0.462198
0.5041,7,12.0001,3.4006,0.0109,0.3049,0.1302,3.6591,0.495882
0.5553,7,19.4817,5.0115,0.011,0.2105,0.2139,4.1013,0.444655
0.5484,7,18.2269,4.7482,0.011,0.2216,0.2003,4.039,0.451614
0.5689,8,19.0373,4.1827,0.0111,0.2502,0.212,4.7634,0.431065
0.5442,7,17.2988,4.5411,0.0111,0.2313,0.1924,4.0018,0.455797
0.5407,8,14.4774,3.3468,0.0111,0.3099,0.1603,4.4861,0.459277
0.524,7,14.2089,3.8737,0.0111,0.2693,0.1584,3.8265,0.47599
0.5227,5,19.8589,7.5993,0.0111,0.1427,0.2213,2.8346,0.477347
0.5069,6,14.4426,4.7482,0.0111,0.2217,0.1597,3.2013,0.493052
0.5685,8,18.9272,4.1616,0.0112,0.2514,0.2111,4.7591,0.431495
0.5641,10,13.9572,2.4743,0.0112,0.4154,0.1564,5.7972,0.435924
0.5375,10,10.4862,1.9508,0.0112,0.5238,0.1176,5.4929,0.462471
0.5295,8,12.8014,3.0221,0.0112,0.3421,0.1432,4.3791,0.47051
0.5252,10,9.2098,1.7535,0.0112,0.5814,0.1027,5.3549,0.474786
0.5405,6,19.2667,5.9414,0.0113,0.1796,0.2177,3.4605,0.459535
0.5654,8,17.9621,3.9713,0.0114,0.2632,0.2047,4.7277,0.434623
0.5617,10,13.3684,2.38,0.0114,0.4316,0.1525,5.7695,0.4383
0.5534,7,18.4434,4.761,0.0114,0.2214,0.21,4.0838,0.446596
0.5309,7,14.8944,4.0077,0.0114,0.2609,0.1694,3.8858,0.469083
0.528,7,14.3855,3.8924,0.0114,0.2684,0.1646,3.8604,0.472025
0.5231,7,13.8254,3.7757,0.0114,0.2762,0.157,3.8187,0.4769
0.513,5,17.8813,6.9716,0.0114,0.1548,0.2033,2.7682,0.487023
0.5733,9,16.9871,3.292,0.0115,0.3152,0.1948,5.3548,0.42666
0.5706,9,16.538,3.2202,0.0115,0.322,0.1895,5.3253,0.429359
0.5628,7,19.9554,5.065,0.0115,0.2089,0.2296,4.1694,0.437163
0.5333,8,12.9277,3.0303,0.0115,0.3415,0.1488,4.4149,0.466731
0.5077,8,9.9915,2.4599,0.0115,0.418,0.1145,4.1763,0.492272
0.5833,10,16.4451,2.8192,0.0116,0.3664,0.1915,6.0248,0.416677
0.5546,7,18.2503,4.7013,0.0116,0.2243,0.2123,4.0943,0.445434
0.5426,7,16.2842,4.2871,0.0116,0.2449,0.1896,3.988,0.457364
0.534,9,11.2099,2.3326,0.0116,0.4403,0.1297,4.9356,0.46602
0.5154,6,14.9682,4.8399,0.0116,0.2182,0.1729,3.2656,0.484551
0.6008,10,19.6118,3.2641,0.0117,0.3181,0.2297,6.2381,0.399159
0.5437,7,16.3794,4.3039,0.0117,0.244,0.1915,3.9972,0.456327
0.5408,6,18.678,5.7567,0.0117,0.1854,0.2183,3.4628,0.45924
0.5374,6,18.1358,5.6247,0.0117,0.1895,0.2116,3.436,0.462614
0.5788,9,17.5106,3.3614,0.0118,0.3092,0.2058,5.4151,0.421191
0.5434,6,18.8991,5.7969,0.0118,0.1843,0.2235,3.4837,0.456634
0.5254,7,13.5591,3.6864,0.0118,0.2831,0.1606,3.8388,0.474551
0.5098,6,13.9453,4.5594,0.0118,0.2311,0.1639,3.2225,0.490233
0.5818,10,15.858,2.7258,0.0119,0.3787,0.1884,6.0061,0.41823
0.5687,8,17.7166,3.8943,0.0119,0.2687,0.2114,4.7607,0.431336
0.539,9,11.5032,2.3713,0.0119,0.4336,0.1367,4.9877,0.461005
0.5069,6,13.4459,4.4211,0.0119,0.2381,0.1596,3.2009,0.493117
0.5862,10,16.5049,2.8154,0.012,0.3672,0.1974,6.0598,0.413762
0.5741,8,18.6028,4.0504,0.012,0.2589,0.2229,4.8158,0.425895
0.5638,8,16.7602,3.7156,0.012,0.2812,0.2017,4.7124,0.436154
0.55,6,19.7986,5.999,0.012,0.1787,0.2374,3.5377,0.449951
0.5113,9,8.5113,1.8497,0.012,0.5526,0.1018,4.7032,0.488739
0.5054,4,19.4395,9.6162,0.012,0.116,0.2336,2.2551,0.494617
0.5989,10,18.5615,3.099,0.0121,0.3348,0.2252,6.2147,0.401056
0.5822,8,19.9718,4.2879,0.0121,0.2453,0.2412,4.8989,0.417785
0.5438,9,11.8905,2.4297,0.0121,0.4237,0.1437,5.0376,0.456239
0.5423,10,10.249,1.8901,0.0121,0.5412,0.1238,5.5464,0.45774
0.5061,7,10.9968,3.1041,0.0121,0.3342,0.1328,3.6756,0.493896
0.5144,6,14.0733,4.5601,0.0122,0.2315,0.1712,3.2574,0.485631
0.5013,5,15.0216,5.9936,0.0122,0.179,0.1833,2.6895,0.498748
0.5426,10,10.0663,1.8554,0.0123,0.5513,0.1242,5.5497,0.457445
0.5238,9,9.4753,2.01,0.0123,0.5098,0.1165,4.8306,0.47621
0.516,9,8.7137,1.8765,0.0123,0.5452,0.1071,4.7508,0.484039
0.5158,7,11.8985,3.2953,0.0123,0.3157,0.1462,3.7569,0.484181
0.5689,7,19.6426,4.9329,0.0124,0.2151,0.2429,4.2249,0.431145
0.538,10,9.5083,1.7672,0.0124,0.5783,0.1183,5.4987,0.461959
0.5377,10,9.4941,1.7656,0.0124,0.5788,0.1178,5.4951,0.462276
0.5339,5,19.6688,7.3674,0.0124,0.1481,0.2441,2.9138,0.466062
0.514,5,16.485,6.4145,0.0124,0.1683,0.2052,2.7751,0.486006
0.5643,7,18.6259,4.7157,0.0125,0.2245,0.2326,4.1824,0.435744
0.5523,7,16.5735,4.2871,0.0125,0.2458,0.2078,4.0737,0.447728
0.5494,9,12.1785,2.4628,0.0125,0.4186,0.1525,5.0974,0.45056
0.5439,6,17.8995,5.4853,0.0125,0.1948,0.2245,3.4877,0.456136
0.5412,9,11.2083,2.3012,0.0125,0.447,0.1399,5.0104,0.458829
0.5211,7,12.3165,3.3764,0.0125,0.3087,0.154,3.8018,0.478882
0.5156,5,16.6541,6.4602,0.0125,0.1673,0.2081,2.786,0.484409
0.5056,6,12.5992,4.153,0.0125,0.2533,0.1577,3.1914,0.494372
0.5867,10,15.6927,2.6747,0.0126,0.3865,0.1984,6.0654,0.4133
0.5716,9,15.1442,2.944,0.0126,0.3523,0.1913,5.3353,0.428443
0.5648,8,16.1229,3.5684,0.0126,0.2929,0.2035,4.7217,0.435221
0.5156,8,9.8524,2.3886,0.0126,0.4313,0.1242,4.2491,0.484397
0.5126,10,7.0402,1.3733,0.0127,0.7409,0.0893,5.2158,0.487358
0.5719,8,17.0436,3.725,0.0128,0.2813,0.2183,4.7938,0.428063
0.5693,8,16.6161,3.6487,0.0128,0.2869,0.2126,4.7666,0.430748
0.5405,6,17.0715,5.264,0.0128,0.2027,0.2178,3.4608,0.459486
0.5332,7,13.5762,3.6373,0.0128,0.2877,0.1732,3.9057,0.466783
0.5284,8,11.0395,2.6114,0.0128,0.3958,0.1416,4.3691,0.471573
0.524,6,14.6484,4.6593,0.0128,0.2274,0.1871,3.331,0.47602
0.599,10,17.4303,2.9099,0.0129,0.3566,0.2254,6.2154,0.401001
0.5861,9,17.1655,3.254,0.0129,0.3202,0.2216,5.4969,0.413858
0.553,6,18.8472,5.6799,0.0129,0.189,0.2439,3.5622,0.446957
0.5417,6,17.0752,5.2536,0.0129,0.2032,0.2201,3.4703,0.458302
0.5354,5,19.127,7.1443,0.0129,0.1529,0.2473,2.9245,0.464555
0.5009,5,14.2173,5.6761,0.0129,0.189,0.1828,2.6875,0.499051
0.5765,8,17.4911,3.7926,0.013,0.2767,0.2282,4.84,0.423516
0.5729,9,14.9028,2.8904,0.013,0.359,0.1939,5.3499,0.427105
0.5696,9,14.4134,2.8116,0.013,0.3687,0.1875,5.314,0.430395
0.557,9,12.7265,2.5386,0.013,0.4069,0.1649,5.1782,0.44297
0.5351,5,19.0145,7.1067,0.013,0.1537,0.2466,2.9222,0.464884
0.529,5,17.9799,6.7975,0.013,0.1601,0.2339,2.879,0.470984
0.5243,10,7.8272,1.4928,0.013,0.6829,0.1018,5.3452,0.475661
0.5132,4,19.2261,9.3665,0.013,0.1197,0.2491,2.3017,0.48684
0.513,10,6.9222,1.3494,0.013,0.754,0.0897,5.2195,0.487022
0.511,4,18.8077,9.2015,0.013,0.1217,0.2447,2.2887,0.489006
0.589,9,17.4127,3.2847,0.0131,0.3175,0.2281,5.5293,0.410979
0.5395,10,9.1443,1.6951,0.0131,0.6031,0.1201,5.5146,0.460545
0.5126,7,10.8037,3.0108,0.0131,0.3452,0.1417,3.7299,0.487391
0.5837,9,16.404,3.1228,0.0132,0.3334,0.2162,5.4691,0.416343
0.5813,8,18.0969,3.8916,0.0132,0.2702,0.239,4.8893,0.418714
0.5803,8,17.9008,3.8557,0.0132,0.2726,0.2369,4.8796,0.41966
